github.com/AlDanial/cloc v 1.98  T=3.55 s (285.0 files/s, 88468.0 lines/s)
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
File                                                                                                                                          blank        comment           code
/Users/matthewdavis/workspace/nvr.ai/pkg/webrtc-controller/main.go                                                                               27             22            118
/Users/matthewdavis/workspace/nvr.ai/pkg/streamer-gst/go-gst/gst/app/gst_app_sink.go                                                             32             81            117
/Users/matthewdavis/workspace/nvr.ai/pkg/types/protos/frame.pb.go                                                                                18              8            117
/Users/matthewdavis/workspace/nvr.ai/pkg/webrtc/test/test.html                                                                                   20              5            117
/Users/matthewdavis/workspace/nvr.ai/pkg/api/ent/rolepermission/rolepermission.go                                                                23             37            116
/Users/matthewdavis/workspace/nvr.ai/pkg/go-gstreamer/elements/elements.go                                                                       18             13            116
/Users/matthewdavis/workspace/nvr.ai/pkg/rabbitmq/rpc/router.go                                                                                  19              1            116
/Users/matthewdavis/workspace/nvr.ai/pkg/webrtc/sessions/sessions.go                                                                             26             25            115
/Users/matthewdavis/workspace/nvr.ai/pkg/streamer-gst/go-gst/gst/gst_element_impl.go                                                             27             55            114
/Users/matthewdavis/workspace/nvr.ai/pkg/gateway-tmp/wg-embed/pkg/wgembed/config.go                                                              23              0            113
/Users/matthewdavis/workspace/nvr.ai/pkg/go-gstreamer/pipelines/pipeline_test.go                                                                 11             26            112
/Users/matthewdavis/workspace/nvr.ai/pkg/config/config/config.go                                                                                 13             15            111
/Users/matthewdavis/workspace/nvr.ai/pkg/proxy/proxy.go                                                                                          23             10            111
/Users/matthewdavis/workspace/nvr.ai/pkg/firewall/main.go                                                                                        18              0            110
/Users/matthewdavis/workspace/nvr.ai/pkg/rest/monitoring/logs.go                                                                                 19              0            110
/Users/matthewdavis/workspace/nvr.ai/pkg/rest/billing/recurly/accounts.go                                                                        18              0            109
/Users/matthewdavis/workspace/nvr.ai/pkg/rest/rbac/main.go                                                                                        7              0            109
/Users/matthewdavis/workspace/nvr.ai/pkg/webrtc/webrtc/stream.go                                                                                 14              0            109
/Users/matthewdavis/workspace/nvr.ai/pkg/broker/main.go                                                                                          20             52            108
